median_house_value,housing_median_age,total_rooms,total_bedrooms,population
195400,32,2704,514,1669
170800,25,1814,404,1187
193900,34,1921,422,1230
163500,34,1729,324,1341
161200,34,1519,304,1262
163000,34,1403,274,977
158900,33,1493,331,1571
149000,35,1499,289,1112
151800,35,1375,249,1015
162900,27,5026,955,3899
284000,18,6100,1018,3112
241100,30,1596,307,845
303800,25,3250,546,1452
186000,34,1475,319,698
165500,32,1053,207,1038
313000,18,8836,1527,3946
500001,27,2029,242,711
459600,30,2577,404,1076
365100,35,2159,343,833
239300,35,1694,296,679
185600,35,2127,417,1247
197500,33,1013,312,706
186200,37,588,121,436
182100,28,604,207,615
350000,20,812,192,494
215400,34,1347,212,676
208100,29,1422,409,1057
196900,27,1366,326,878
228600,24,4735,955,2600
227400,34,1290,203,664
238000,33,1891,334,932
243200,26,1589,259,735
214300,25,1731,482,1127
166100,40,299,68,163
199200,34,2627,468,1409
171100,11,2880,745,1806
175900,33,2964,747,2235
170800,32,714,142,654
176200,33,1441,337,1233
184200,27,2512,506,1861
186700,30,5268,1093,4480
207200,24,4248,840,3118
276500,18,3695,602,1779
374200,26,4183,539,1504
367000,26,2552,314,925
224100,16,2095,450,963
222100,20,5476,1073,2327
209700,15,2016,443,1015
225000,24,1097,307,470
272000,18,1867,426,871
439100,28,1765,390,832
104400,4,2630,502,1150
273800,17,7116,1089,3538
140800,29,1986,448,2013
166500,21,2215,484,1792
140600,18,1179,324,1296
154100,34,2278,476,1728
176500,37,1987,399,1279
184800,32,2252,415,1370
204800,34,1428,227,890
154500,31,2349,539,2028
153900,36,1044,200,982
150800,27,2610,846,2296
145700,35,804,159,727
157900,33,1782,394,1517
155800,33,1453,326,1609
144100,22,1919,411,1203
135600,19,1129,258,900
176300,34,2376,468,1858
332200,25,1075,138,451
325000,24,1219,177,610
269900,15,3978,692,2418
330400,15,16042,2602,7732
500001,33,1113,145,424
379300,29,4943,674,1913
267900,31,2237,431,1135
264100,28,2851,496,1287
161900,25,3445,801,2400
178200,32,1661,312,1201
153600,18,2825,660,1590
137000,13,2312,592,2038
141300,11,3127,706,1594
349000,17,1665,247,755
275000,34,1939,355,817
184900,34,1599,296,938
55000,22,1432,335,746
195700,36,2038,343,1066
193500,35,2375,439,1343
203500,13,6963,1426,3892
180000,34,1229,215,1035
173400,19,1749,406,969
171400,18,3418,815,1961
210900,36,1380,237,690
216700,35,1107,207,641
217800,31,2421,389,1348
224700,35,1117,181,496
208700,35,1068,190,514
213200,29,2929,640,1618
195200,33,1724,291,943
240700,24,2749,498,1367
214600,34,1654,285,905
218300,34,2584,408,1233
133800,9,3553,1035,2017
188500,32,2296,560,1376
191000,26,4115,883,2184
180900,38,989,246,691
181800,38,1476,308,1114
188000,29,1829,366,1703
231400,24,2027,358,1405
276100,19,1983,283,1098
225200,25,1393,243,976
271900,21,3576,554,1846
201200,16,2768,600,1182
288000,21,3107,483,1688
306500,20,2781,407,1242
290900,16,6058,1715,3285
231900,17,5781,924,2585
230400,26,1417,264,817
284600,24,4269,618,1954
239200,27,1732,303,1115
265000,26,2249,344,1311
252800,19,1028,191,340
372400,25,1799,233,810
137300,25,1611,383,554
329800,26,1787,227,639
337400,22,2785,441,1086
500001,29,1496,282,463
381500,27,891,183,513
271600,17,6745,1547,2688
123900,32,3511,646,1733
159400,32,1896,342,806
163900,33,1994,405,993
151700,27,2221,542,1328
141600,35,4036,904,3878
141800,30,2775,657,2847
131000,6,1954,534,1584
160800,30,2686,613,2477
151800,39,1076,338,1242
159900,33,4151,850,3563
173100,28,2831,552,2330
191700,35,2819,529,1508
158400,32,2910,709,2583
183200,34,2226,381,1464
167300,31,2017,462,1462
158600,36,1475,270,1149
163100,35,1254,263,1092
181900,32,1993,388,1385
148300,35,1141,212,924
146900,34,1381,265,1020
158100,33,1458,268,1115
150400,35,2093,407,1755
152600,35,1623,331,1462
133300,33,349,124,460
183800,34,2777,540,1954
311100,25,2799,388,1348
297600,25,1348,210,660
228900,34,2228,399,1159
185200,31,2397,518,1407
232800,31,1471,321,841
192600,29,2316,522,1275
175400,15,2014,419,839
215000,18,3744,1027,1654
381500,9,1899,284,1070
346900,10,2423,356,1213
334100,24,1332,252,625
341300,25,3578,461,1588
187500,35,1972,367,1152
167500,27,890,289,416
183200,35,2181,371,1249
184900,35,2146,430,1230
190000,32,2366,505,1283
185700,36,1951,365,1254
189200,35,1175,191,568
186300,31,2265,537,1617
220800,34,982,148,498
298900,29,1194,176,474
137500,18,2067,770,870
183400,32,2856,622,1499
197400,32,2726,556,1513
180400,29,2176,468,1632
180000,35,1996,326,1409
177400,35,1153,192,884
183900,34,1941,356,1021
182500,34,1416,277,980
218000,35,1493,267,811
188400,33,2362,394,1185
195200,30,729,131,488
221800,36,2398,403,1261
229200,35,1330,201,658
269300,33,1520,239,658
236100,26,2136,557,1528
222800,32,4398,905,2777
189500,24,1328,290,1012
193900,22,2520,556,2126
237300,25,1323,208,852
196300,22,2300,539,1625
176100,14,2509,611,1814
230000,19,1783,415,1025
347600,22,3479,455,1454
318200,23,3929,559,1858
342600,19,4328,849,2243
304500,19,1624,221,782
289600,23,2622,445,1103
316700,17,2500,343,1242
224800,26,1374,234,731
152100,24,6517,1279,3441
219200,18,2594,539,817
382100,16,5143,652,2209
333300,19,5925,744,2302
289800,24,4462,689,1943
350600,23,5379,684,1826
343300,21,2030,318,910
363100,18,3603,879,1549
471400,34,959,230,384
295000,35,5005,848,2112
136000,33,1328,348,903
150300,15,3595,964,1839
151700,42,683,127,541
144500,33,2038,473,1546
137500,18,123,28,121
143900,33,1558,316,1600
160100,26,1399,277,1285
143400,31,2779,639,2259
160500,27,3569,761,3339
142400,8,2027,480,1781
164100,30,2227,474,1961
157100,20,2063,496,1573
166800,34,3580,684,2786
155500,31,2516,526,2194
158000,36,931,160,746
161400,36,1299,206,763
155700,34,2050,495,1832
157600,33,2028,422,1727
163300,32,1507,295,1326
157300,28,1686,417,1355
152900,33,3530,700,2959
165500,33,2006,381,1410
179000,28,1983,375,1407
300300,23,3335,570,1560
289900,22,5284,982,2613
441900,30,4873,667,1995
217000,36,1870,338,947
215700,35,1928,360,1056
255800,34,1632,263,690
198100,35,1887,328,989
194000,33,1700,369,981
202000,31,1975,373,918
181800,17,1851,344,764
137500,17,1740,445,1158
462800,14,923,136,420
321600,16,2003,300,1172
218500,11,1454,247,635
169200,28,1784,440,1255
161700,34,2138,490,1682
141700,12,1370,367,1022
170700,45,818,147,546
182900,30,2513,476,1611
190200,35,793,128,589
191700,25,2471,518,1539
200900,22,3310,688,1807
187500,16,2035,564,1118
205200,26,2335,504,1121
180600,30,2406,462,1753
206300,26,4022,1081,2457
224200,34,2456,410,1289
211400,33,3268,641,1704
203800,35,3148,597,2110
350000,25,1295,417,856
179600,22,2244,575,1543
162200,20,1988,424,1277
187500,28,1386,272,901
183900,27,1712,325,1036
194000,18,1862,399,1301
190700,26,3361,722,2709
262000,18,2814,539,1439
139200,16,1735,380,784
224200,26,1694,260,885
301800,19,4154,560,2130
252900,26,2553,405,1337
286100,25,3273,478,1645
292000,21,4112,580,1886
260900,26,3653,568,1930
232100,26,1616,292,700
390800,16,4508,598,2221
265100,25,3906,660,1809
330700,17,4466,640,2166
281500,22,3914,600,1871
180300,14,6090,1338,1974
339300,26,2379,336,988
344000,25,2482,360,960
81900,5,4849,920,2504
84500,4,923,166,352
135700,13,2815,535,1492
235200,27,6341,1289,2899
148000,24,1596,388,1329
142900,37,1447,309,1279
130500,29,2110,460,1890
161300,31,3073,617,2640
152200,17,3640,830,3537
152500,28,441,106,504
139400,15,3543,888,3131
160700,36,2391,407,1967
160300,33,1353,228,1079
156900,35,2342,426,2176
159800,33,1560,315,1467
154600,34,2547,537,2108
190600,29,1468,310,1390
191100,21,797,162,484
193200,33,3512,632,1971
183900,32,2945,651,2044
324900,22,3632,538,1968
333500,27,2275,346,1039
258800,36,4297,717,2038
232500,27,3142,509,1520
219800,27,3700,568,1793
257200,16,10621,1782,3836
146800,6,1537,347,506
158700,29,1310,332,937
188800,25,2037,515,1435
205800,26,1240,285,781
137500,25,1025,266,726
189600,35,984,179,661
191100,33,2291,439,1187
220700,31,1252,225,714
228500,17,3419,932,2460
218100,34,1290,220,867
200000,34,1038,175,578
215600,35,897,156,479
181800,28,3528,816,2304
183100,18,3751,878,2281
227500,35,2114,341,1077
191400,32,2161,432,1503
179700,35,2356,478,1659
180200,22,4255,971,2901
169800,7,2252,570,1576
174200,22,3236,673,2034
196900,29,1518,312,1086
197400,28,3215,652,2066
150000,23,1553,518,1988
199600,37,1264,274,783
210600,27,2343,415,1537
180000,24,3865,802,2670
207500,29,3443,635,2257
304700,16,4636,908,2341
219700,18,3833,1056,2192
243100,28,3109,561,1891
240400,24,2826,547,1738
229600,26,1905,373,1098
264600,24,3430,548,1601
230000,24,2308,464,1101
278000,24,3451,504,1736
239200,17,1997,340,952
160500,17,1989,411,1401
390500,16,5127,631,2142
350200,22,3957,520,1774
247200,16,2437,438,986
281900,24,4177,624,1704
369100,14,3396,477,1542
264700,7,5664,1174,2493
294900,22,3592,527,1598
197900,22,3335,754,1500
211300,18,1027,206,436
137500,20,1851,495,792
383900,17,2054,291,836
87800,15,2180,416,960
365000,38,2981,432,1063
262000,40,3838,696,1851
185600,44,2492,611,1951
153000,30,2346,567,1988
129400,37,1568,371,1618
139200,35,1040,231,1040
145900,35,1681,360,1648
145800,32,2491,616,2660
151100,35,1792,317,1441
168300,30,4468,959,4027
382500,26,2988,397,1371
360400,18,8399,1144,3727
500001,18,4078,484,1490
498600,30,2217,284,851
214000,34,1519,301,758
212300,30,2395,565,1214
208100,33,2299,431,1049
222700,27,5805,1152,3106
202800,33,2161,383,1235
199700,30,1677,372,1021
347800,23,2111,306,979
160500,21,5195,1020,2539
240600,25,3401,509,1503
159400,15,2298,567,1261
161900,34,1239,307,869
174000,16,1689,499,1260
187200,36,1138,228,725
178000,20,3540,906,2898
176100,20,2303,612,1607
192600,35,1661,272,949
212600,34,1948,306,957
207000,34,2079,343,1379
255500,31,2982,547,1895
191400,35,1484,252,916
215500,33,2342,475,1367
189600,21,2281,557,1510
252100,19,1991,528,1202
182900,23,3284,795,3257
180800,25,3179,639,2526
162500,18,383,94,487
169000,33,2064,324,1384
190500,29,2470,560,1589
213300,21,2695,707,1888
213000,15,4273,993,2300
202400,29,1312,267,922
160900,15,2081,531,1617
190900,30,1572,362,1351
177700,17,2545,737,1468
184400,30,1859,462,1314
191800,22,3024,754,2357
240000,26,4065,741,1960
220800,20,3182,884,1770
248100,17,5239,1045,2440
255700,26,1787,275,801
134800,17,2801,649,1473
188500,14,2127,537,1338
218800,19,1967,487,1251
237500,18,1994,578,3031
216700,17,1600,458,1803
229400,25,2017,357,1063
213000,17,3386,729,1715
216400,16,1476,294,886
186900,18,2024,462,1047
216700,14,3305,841,2272
273600,13,4000,883,1999
262500,17,1692,427,903
234600,15,3141,664,1729
350000,12,2228,479,1122
353100,29,1330,293,613
268800,14,3155,653,951
86500,21,1739,425,945
270600,52,1354,227,531
311800,42,1020,156,398
256800,48,3436,673,1540
166900,39,1302,303,800
178100,31,1298,431,1131
158100,35,1005,224,742
167000,24,2584,520,1869
173800,42,870,170,546
175000,37,1340,325,928
176300,34,2249,460,1544
195300,29,2003,401,1520
185100,23,1627,318,1279
138500,34,1696,456,1609
226100,25,6909,1154,3912
372600,30,6540,991,3124
401000,35,1431,210,505
174400,37,903,158,444
203700,36,2911,534,1395
214400,35,2603,482,1305
185000,35,802,153,445
285200,19,5166,770,2374
200800,35,1065,176,574
188700,35,1011,183,578
213300,34,1932,315,1053
268100,28,1624,289,755
170800,18,2628,720,2276
165600,13,2086,544,1356
203000,32,1162,196,563
188000,34,1078,205,575
197200,33,2053,418,1154
195100,30,1549,325,885
165100,29,2641,637,2413
196100,26,1718,385,1022
212500,24,2578,580,1217
202800,24,3002,644,1495
204700,21,2253,580,1536
224800,18,2947,559,1820
174700,22,2642,640,1702
146300,17,2142,436,946
196500,17,1530,404,883
153800,13,2782,605,1749
143500,18,3679,694,1820
211700,28,2401,503,1155
192800,24,1324,267,687
194200,29,1982,503,1426
176000,26,1876,455,1499
179200,14,1120,319,982
208800,12,1250,331,1047
137500,26,1382,387,1977
316700,25,2767,346,1148
342800,26,2236,280,809
279700,19,4808,1029,2422
285400,12,5241,985,2048
442700,25,4041,903,1689
252900,16,2809,708,1260
68500,15,1926,361,917
137400,2,2701,530,1368
318500,47,1745,270,753
265500,52,2234,472,986
184100,32,6597,1579,3689
212300,38,3374,671,1906
365900,36,1332,217,648
214800,43,1185,207,657
278400,32,1937,332,922
211600,43,1858,345,1054
212200,36,1722,320,794
212200,32,1978,536,826
166300,35,2120,412,1375
181400,27,2424,542,1713
181700,32,1613,361,1283
173600,35,1852,358,1414
166800,24,5684,1485,6626
182600,22,6311,1572,6666
155400,26,557,153,455
138000,37,682,172,813
161700,31,1135,355,1717
290800,36,1451,224,608
273500,36,1805,288,882
181100,36,1579,290,816
296700,35,1755,322,774
188700,36,1921,329,969
174800,35,1323,235,807
189900,34,2424,468,1293
174400,31,3395,742,1886
205100,34,4039,694,2269
221400,32,2722,571,2541
211700,36,1382,257,685
201000,26,2968,674,1655
202900,36,1589,265,804
203400,34,1653,292,1003
212800,33,2046,327,1018
185700,25,6348,1615,4188
194200,29,2307,452,1218
195200,29,3061,612,2396
202100,28,4097,838,2112
208600,29,3963,772,2104
202300,24,4639,1374,3093
219600,23,1086,268,825
225900,31,1960,380,1356
192300,10,3897,893,1992
177100,25,1831,345,809
190100,18,5238,1083,3032
219500,16,4021,701,1488
223200,30,2460,403,1277
258000,23,2663,430,1499
233100,26,2343,377,1166
207400,19,2648,478,1160
204100,33,1387,238,890
217500,32,1771,296,995
191900,35,2072,349,1249
177700,26,2141,597,2038
186000,30,3380,722,2269
264900,25,8110,1264,3613
302500,23,4095,578,1766
295600,18,6565,1357,3079
302700,24,3856,567,1741
500001,3,945,115,337
397600,16,3581,780,1644
447700,13,2902,536,1125
429200,19,4559,1045,1949
96900,38,248,55,261
151300,4,10655,1706,5391
500001,32,3868,548,1558
307400,44,2267,426,980
252800,34,1077,257,478
222800,31,6854,1578,4131
273600,32,3308,718,1803
366000,37,2250,360,989
395100,36,1471,246,751
219000,39,1504,280,718
414800,35,2454,458,1110
226000,36,452,80,248
233700,36,1928,361,1008
191800,32,1747,399,1199
170000,24,2080,514,1976
175200,29,2741,667,2449
156300,21,3245,959,3528
173800,26,2929,970,3792
156300,34,1610,513,2050
165800,33,2464,627,2932
167000,28,991,255,1145
158100,28,6175,1449,5041
332700,23,1995,306,707
313800,34,1903,293,887
219700,36,2071,398,988
244700,36,2002,361,913
168900,38,2139,426,1138
179800,36,1705,299,871
181200,36,1681,329,964
179500,36,1632,295,797
191800,23,4815,1081,3232
193800,35,2400,398,1218
184700,33,4711,988,2984
218700,34,2169,418,1169
216700,35,2182,390,1248
213700,35,1337,234,692
205200,36,2417,421,1276
202900,34,2678,511,1540
209900,34,1636,358,977
198200,36,1375,242,670
220700,26,2342,383,1290
213000,31,1922,329,1030
214100,35,3473,563,2091
200900,34,3482,614,2227
193800,24,84,14,32
240400,23,6368,1030,3281
228900,28,3375,559,1754
207500,34,2115,352,1253
214800,27,2905,587,1781
195800,25,1759,404,1404
231200,26,2989,479,1596
248200,26,3842,609,1961
234100,26,3711,610,1902
336900,24,6393,1141,2743
267800,22,8844,1706,4404
331900,23,5554,995,2408
408300,38,2548,646,755
271400,11,3969,834,1508
154300,4,9849,1780,4546
500001,39,2731,366,1034
500001,36,1640,239,693
486800,43,1694,283,674
352200,44,1446,250,721
242600,31,4353,1117,2338
416900,38,2076,361,988
437400,34,2837,460,1344
233600,38,2301,416,1079
233100,32,2668,609,1512
223900,31,2647,539,1473
201700,30,2773,634,1376
180900,29,1219,338,1152
162800,42,1597,373,1311
159200,37,775,179,726
169600,32,1780,484,1732
152000,37,1091,269,905
162100,36,1018,305,1307
170600,31,1513,389,1396
157800,27,2510,783,3481
151400,24,2469,731,3818
135200,24,2343,834,3537
142300,36,1345,331,1511
403700,10,6531,1036,2975
243800,52,2792,461,1177
236800,46,1974,465,880
196200,39,2126,434,1103
224300,39,1996,389,1029
167900,36,2149,527,1359
232400,36,1601,290,715
171400,37,1745,365,1022
177800,37,1772,321,934
173200,34,1882,428,1034
179800,37,1699,302,889
169000,34,1748,386,917
177200,30,2572,521,1564
164700,22,3382,800,2688
167000,35,2108,405,1243
158300,30,1414,332,1307
160100,32,4040,832,2526
171100,36,1143,193,826
202400,35,1434,279,744
277600,16,2306,393,1368
289300,19,1795,328,1014
203700,30,2320,448,1434
224100,23,5495,1141,2873
344400,16,1831,390,1347
198400,34,3203,653,2072
132800,25,768,195,529
229600,25,3030,532,1668
245300,17,2178,477,1077
244400,17,1851,346,770
237400,26,3635,567,1779
216600,32,3191,634,1718
237600,26,5321,889,2932
270100,25,3554,528,1600
218900,27,2000,310,880
223500,32,2980,494,1370
261000,24,5203,957,2465
271400,26,1483,251,738
395300,15,3244,421,1259
265700,52,1885,401,764
350700,38,1594,249,633
377200,34,1523,311,676
430200,39,2485,382,1072
500001,35,249,31,268
276200,22,3359,643,1227
500001,44,2007,288,921
445200,39,2522,380,1113
500001,30,2170,318,984
500001,37,1275,177,598
273800,39,2302,412,1590
235300,38,2317,451,1155
248900,34,2597,461,1542
183000,34,2001,388,1461
186000,32,1339,334,817
173300,35,1148,258,975
131300,52,177,59,269
173100,39,2451,649,2536
176100,39,1258,245,988
153400,31,957,295,1300
154200,30,2019,551,2481
137500,34,1058,230,1043
156800,32,1252,273,1337
160600,35,1734,363,1527
165100,32,1619,323,1492
279200,30,5308,854,2114
197100,47,2530,565,1262
198600,36,3531,754,1613
163200,50,1951,458,1362
163300,43,2446,764,1699
165600,28,1617,507,1158
182100,25,3040,831,1580
162500,29,2376,700,1968
177500,25,2945,914,2313
148800,42,1430,338,1269
154000,37,1948,395,1163
178500,36,2722,515,1390
174000,36,1976,368,1236
171900,35,1945,357,1227
164400,37,1328,273,1115
173900,31,3808,670,2430
144100,36,1726,332,1293
161800,36,1045,239,1165
156200,35,2469,522,2151
153500,34,1995,417,1573
162500,36,15,5,15
297300,17,4807,838,3059
275100,18,4626,822,2794
285800,17,2358,396,1387
322700,21,2870,437,1671
279200,24,2233,347,1162
256000,21,6623,1204,3193
201900,20,1488,312,972
320700,19,4526,830,2318
273900,26,4105,637,2072
216100,27,2990,515,1849
241000,22,4057,624,2204
259400,26,3642,557,1623
247100,25,3715,575,1640
294900,25,4061,545,1623
338800,16,2070,263,878
235600,16,3757,650,1291
235800,26,2532,421,1274
182500,15,1836,490,942
169400,14,4494,1048,2222
396900,12,4014,868,1605
74200,34,2090,478,896
388900,45,2535,455,1036
376800,36,3908,732,1688
500001,32,5131,665,1877
218300,23,3264,729,1475
476700,20,5218,959,2302
272400,48,1410,304,677
274300,42,2065,404,1313
252200,30,2143,427,1107
146400,23,602,135,409
138800,34,572,154,752
159200,30,1572,427,1857
143500,25,4909,1422,4983
183100,32,4492,1075,4119
162500,45,531,164,722
174500,32,2286,654,2991
142000,25,1022,291,1570
162200,36,1084,202,920
161200,33,1348,260,1098
375000,31,40,8,25
263400,42,2480,401,1085
182400,38,1619,379,886
155300,41,1694,413,1222
137500,41,1406,428,1174
172800,34,2142,390,1305
154000,36,2854,688,2816
160300,37,2622,652,2778
149000,34,495,120,527
150000,35,2107,480,2241
154700,33,1999,470,2170
313800,18,4928,773,2952
265600,16,2851,626,1985
350400,16,2676,391,1377
313100,25,2856,388,1212
286700,24,4316,678,2286
159600,25,1548,279,732
386700,21,2997,372,1323
234600,26,2523,437,1377
277400,19,1863,355,1260
353500,25,3112,435,1098
390900,18,3414,434,1272
266100,25,2472,450,1301
226100,17,1875,472,900
188900,14,2673,687,1192
461600,25,4150,570,1424
477700,5,7017,935,2427
67500,15,1962,403,730
150000,14,2606,514,1228
410400,38,2726,398,1059
286500,46,1467,298,816
362500,34,2297,419,909
437300,42,2461,379,1179
500001,40,2662,379,1151
391500,40,4307,918,1769
227300,28,12139,2873,5359
248100,25,3891,848,1848
248700,39,2603,547,1196
256700,43,1833,355,786
283600,42,1576,313,697
257100,38,3229,636,1599
260100,38,2438,442,1308
265900,38,1960,330,874
251600,40,1975,389,1116
262500,38,2036,388,1096
258100,36,1239,238,717
180500,37,778,205,850
189100,34,1197,260,942
184400,30,2308,674,3034
173900,28,2127,625,3160
165900,28,1778,605,2184
160300,28,1516,363,1011
188800,25,3548,639,2653
155100,34,1962,396,1488
166100,47,1588,309,827
174400,46,1203,219,637
188000,45,1471,255,670
186200,38,862,178,484
172600,50,1146,238,579
186900,42,1342,243,615
169200,40,1723,370,1221
178000,40,1410,255,932
177600,38,1862,319,975
175800,39,1639,300,988
159200,37,1645,308,1077
173300,36,1360,271,909
157700,24,4880,1044,4516
158000,37,1161,254,882
220500,26,2483,412,1538
337400,17,7187,1073,3844
293700,16,5603,938,3045
437400,16,4851,726,2527
210900,26,6960,1454,4367
168400,20,5643,1231,3841
343900,21,3941,655,1897
163800,17,1973,516,1112
213400,24,3983,675,1568
263000,25,3497,513,1839
196900,21,2196,504,1215
195300,20,1379,333,937
355600,22,4048,562,1637
500001,16,4392,602,1490
500001,22,4311,531,1426
500001,17,4573,937,1619
500001,14,2665,331,964
107400,34,3416,601,1929
145500,5,10264,1821,5871
239900,14,2798,459,1236
326100,36,2415,394,1215
326000,35,2142,373,986
397500,39,1804,265,730
330000,35,3585,671,1401
209200,45,1095,237,672
260400,42,3200,685,1668
251200,27,3787,913,1992
272600,43,1554,287,802
279900,30,2201,559,1194
225000,47,832,194,419
270700,41,2869,563,1627
259800,34,2253,522,1262
214100,32,4275,1061,2812
187500,28,676,177,543
212000,33,2178,445,1153
211900,38,2462,553,1843
199300,31,1370,284,1062
207100,19,1554,393,1427
168600,34,2873,718,2758
171000,38,2245,444,1540
176800,36,1391,283,1025
143800,42,1392,351,1471
167300,37,2976,636,2117
163300,41,1204,252,1002
153300,39,552,151,807
164900,35,1625,302,1134
169800,41,1478,273,916
167800,32,3304,714,2032
170700,36,1887,370,1006
155600,32,3400,826,3017
147100,30,928,230,913
157700,35,2228,463,1558
169200,45,1776,353,1180
162700,42,1007,224,776
164100,39,2502,546,1849
120300,35,1145,274,1651
146000,32,1819,386,1679
185300,29,1138,217,964
160800,17,2223,544,2008
344700,18,2436,375,1303
139700,17,2407,539,1422
284200,16,4934,825,2668
220100,28,2399,436,1613
299100,18,3405,556,1945
225900,31,2943,518,1703
189700,28,1789,352,1347
319700,16,3771,606,2196
142900,17,4822,1168,3868
228200,27,3481,576,1660
398800,22,2711,352,1305
218200,22,1391,338,810
320700,26,4422,624,1936
401700,13,1822,313,643
500001,32,1179,250,369
485000,24,1240,296,513
437900,13,5126,711,2429
116300,12,3851,857,2169
137200,14,5144,887,2846
242400,42,3490,665,1713
500001,28,238,58,142
470800,52,1282,189,431
281100,42,2690,589,1149
500001,46,1238,147,377
396700,39,788,128,413
500001,35,1897,279,733
228500,28,4465,985,2273
325000,41,1598,280,807
264100,34,2921,641,1541
270500,27,1685,341,757
257200,42,2628,525,1494
285300,42,1969,353,927
213200,36,2679,548,1605
214600,32,2830,645,1500
207200,34,1823,457,1485
208800,33,2557,578,1715
206800,32,3214,718,2316
211400,43,1716,402,1343
185100,20,5841,1146,3273
144200,14,3789,810,2551
147600,36,1248,322,1282
150200,34,1914,549,2122
176400,33,1091,233,890
158100,32,1973,401,1322
150900,35,1188,342,1373
170700,38,1683,328,1369
162000,37,1419,310,1125
163900,36,2024,590,2028
157800,39,1042,221,863
165800,36,1492,282,1041
163200,38,1026,190,789
163300,36,1678,323,1380
166700,36,1620,298,1258
161200,35,825,155,590
165000,35,2104,399,1659
165400,34,1431,310,1162
162800,37,1743,348,1328
171400,21,3933,949,2219
158200,39,859,164,673
158000,39,1478,324,1127
165100,34,1558,375,1179
172800,33,2263,511,1626
165700,39,1631,322,1034
166800,34,2118,437,1414
168100,36,1551,297,1100
165600,30,3259,942,2744
159900,30,1366,460,920
146900,18,1573,396,1200
168300,44,1167,237,733
161100,42,1768,372,1155
167500,41,834,166,603
153600,37,1152,259,981
114900,35,1071,290,1412
145700,33,2131,435,2045
123400,28,1035,275,1545
120100,30,1901,519,2685
208100,27,3065,736,1840
200800,23,2536,552,2012
215500,29,3260,783,1969
198800,29,1018,235,684
236500,26,778,173,539
287000,17,2259,383,1378
191300,22,1055,204,682
288700,19,4261,678,2621
194600,31,2906,578,1806
170400,31,2377,600,2042
153300,25,3696,953,2827
136800,30,2188,556,2727
118300,30,2636,652,3412
402500,20,6295,937,2292
369400,29,3675,613,1457
364700,30,2879,403,1109
340100,25,5321,967,1969
68500,26,3083,806,960
67500,26,2013,551,664
71300,27,529,159,193
46700,26,996,364,366
54300,26,1967,577,692
46900,25,1995,637,743
340700,14,2021,396,696
104800,34,1218,285,797
138500,6,4558,804,1543
144000,4,23386,4171,10493
99200,31,1537,416,1239
142900,4,9761,1683,4970
500001,34,3113,409,1139
269300,36,2875,552,1131
321100,45,2199,358,942
260100,49,1467,259,688
237500,46,271,74,150
210900,45,1345,356,749
373800,40,3092,549,1457
500001,45,2966,415,1231
342700,38,2638,432,1284
414800,45,1883,275,764
316800,36,2966,527,1231
210400,40,1904,393,1183
201700,27,6010,1532,3620
224000,40,855,208,745
188500,36,1068,246,949
218300,42,1003,236,769
235600,34,1513,384,986
206000,33,1430,344,1165
199300,45,593,133,481
184200,38,1036,226,1058
188500,31,1054,252,1032
170800,26,794,182,709
171600,38,3230,840,3485
185600,31,1146,289,1163
199000,22,1764,357,1379
272600,24,1543,257,824
168500,18,5580,1369,3842
208600,33,4853,1105,2855
250200,28,1984,313,1099
114100,42,897,229,1094
150600,36,1465,363,1538
149500,31,1108,238,1151
160600,36,1722,353,1174
162500,35,1580,331,1290
172600,34,1369,270,1005
169500,39,936,194,691
172200,37,1226,255,1068
166000,39,1473,297,1108
164300,35,2664,541,2033
169700,36,3271,603,2593
163200,36,1116,229,719
163000,20,1911,472,1407
166600,36,1991,396,1306
170800,32,1083,206,737
183400,36,2762,472,1576
175400,33,1976,404,1379
175300,37,1950,356,1183
183400,36,1585,323,1205
171100,36,2381,419,1669
170800,36,1226,211,711
166200,35,1994,419,1491
168600,33,879,181,547
168300,31,1983,419,1157
162200,36,1442,271,990
141100,34,1582,343,1356
159400,14,2369,604,1546
158700,36,1215,279,862
176300,33,3326,720,2533
166600,27,3399,882,2465
195300,27,3119,635,1887
286500,19,8120,1371,5026
217700,27,1594,295,1061
213100,23,4412,910,2380
227300,36,2734,448,1308
239800,36,2219,393,1042
254400,36,1878,323,846
243300,36,1371,250,666
253900,36,1724,322,838
247300,36,4210,657,1911
360100,31,4231,617,1694
342700,26,2146,298,852
67500,27,2301,640,847
61300,26,5359,1508,1829
62000,26,1388,409,515
380000,32,6239,974,2615
422200,44,1671,390,871
500001,19,1397,271,491
295100,13,4770,969,2261
137500,16,3914,819,1524
141100,5,10356,1647,4562
103500,32,1489,306,774
106900,29,2843,603,1517
138100,7,20377,4335,11973
300900,47,2168,352,902
450000,39,2321,336,880
279600,46,1774,315,753
300500,44,4505,894,2296
199000,32,978,227,543
177500,14,1442,369,782
324400,45,3066,659,1287
500001,44,1917,265,754
500001,50,1835,231,636
500001,49,3783,579,1601
351400,49,3367,523,1317
280000,52,1788,313,792
210900,34,2578,645,1628
234600,29,1937,448,1352
238300,46,2822,525,1434
258000,44,2352,484,1517
227300,42,1460,289,829
208100,37,2894,659,1977
204600,24,4510,1296,3985
182100,21,1349,352,1188
185000,36,3661,956,3816
203700,33,3437,1081,3817
176800,29,1179,313,1255
179200,36,1463,369,1492
178800,31,2852,740,3100
